,TStatistic,PValue,PValCorr,RejectionCorr,F_C
GNB1,0.3959845325925581,0.6940459678446833,1.0,False,1.0183889166848092
CALML6,-2.353602029443185,0.022970133954575693,1.0,False,1.2403222286101503
TMEM52,2.7790502475675383,0.00818825328659774,1.0,False,1.32009025875328
GABRD,-3.128271675607652,0.003017030800174695,1.0,False,1.3118553475721775
PRKCZ,-1.9564783401091068,0.056436128845656526,1.0,False,1.1193005427935065
C1orf86,-0.9211413265591494,0.36168086840125435,1.0,False,1.0784677932938707
SKI,0.6667639311145512,0.5082453345042026,1.0,False,1.0577127141605835
MORN1,-0.8235124335588411,0.4144034149536786,1.0,False,1.0686877064041127
RER1,-0.6912321729485761,0.49286909947874036,1.0,False,1.0456528493268238
PEX10,-0.0016263574549958916,0.9987093119657867,1.0,False,1.0001528184647945
PLCH2,-0.5661329685338959,0.5740376251751063,1.0,False,1.0473791200086053
PANK4,-0.4023393177226876,0.6893796666383197,1.0,False,1.0377317160996817
HES5,-0.30947133886493716,0.7583573531721285,1.0,False,1.0472410282331652
LOC115110,-1.773497881056579,0.08408290106039108,1.0,False,1.2467157975778955
TNFRSF14,-0.7079266837889815,0.482622778017468,1.0,False,1.0384033696082144
LOC100133445,-0.9755185327063994,0.33470688227566314,1.0,False,1.109621650416297
C1orf93,-0.3994060013333613,0.6917668575977285,1.0,False,1.0324385834308165
MMEL1,-2.648962935565859,0.010962222140185152,1.0,False,1.3050066726439824
FLJ42875,0.2767768084241907,0.7832697659739764,1.0,False,1.0300527709405083
PRDM16,0.3524458492012904,0.7260801302871995,1.0,False,1.0485569398590517
ARHGEF16,-4.626061051760646,3.853561685734459e-05,0.36557901668463166,False,1.3769287874855152
MEGF6,-0.8622994399386594,0.39321709984603026,1.0,False,1.1215511291278788
TPRG1L,0.6884801871068966,0.4946295753458281,1.0,False,1.0569645331685131
WRAP73,0.6428512648517954,0.5234825350998247,1.0,False,1.0442269413785843
TP73,-0.16635242934213368,0.8685943942575416,1.0,False,1.0152746063423472
TP73-AS1,0.06737106492449667,0.9465987061580755,1.0,False,1.0045184634526856
LOC388588,1.3851741185679705,0.17273393306636833,1.0,False,1.1265176648268092
LRRC47,1.6318646385192768,0.11034264153006317,1.0,False,1.16001437153366
CEP104,-2.712515516893586,0.009783549826758864,1.0,False,1.140621635813484
DFFB,0.09937284652539617,0.921269853755735,1.0,False,1.0095072370112508
C1orf174,0.027223757690453432,0.9783968999426484,1.0,False,1.0021698260842604
AJAP1,-3.561511498176904,0.0009562533684700235,1.0,False,1.5549227206604888
NPHP4,0.0383020548035999,0.9696100848743129,1.0,False,1.002140531326807
KCNAB2,0.5236033924113961,0.6030806434910041,1.0,False,1.0508114899560168
CHD5,0.28381602470792094,0.7778769288639961,1.0,False,1.0494833713251805
