,TStatistic,PValue,PValCorr,RejectionCorr,F_C
DFFB,1.6214134906468582,0.11347126150035226,1.0,False,1.1508172153559342
C1orf174,1.094176329427173,0.27970171778484315,1.0,False,1.0893030419362029
AJAP1,0.06935482815365172,0.945014498139679,1.0,False,1.0082907026171046
NPHP4,-0.5940883823248072,0.5555071480494618,1.0,False,1.0339151936526834
KCNAB2,-2.0014912053370977,0.051971977303625856,1.0,False,1.2338375271753126
CHD5,0.6790802081257282,0.5016767047907851,1.0,False,1.1102322841922085
RPL22,3.360700025341617,0.0017188436838117087,0.20884467711185672,False,1.4302260323242897
RNF207,-0.04077704750816743,0.9676561393250812,1.0,False,1.00266722807485
ICMT,-2.3714518650718266,0.022091642549838492,1.0,False,1.124596738747038
GPR153,0.4968234164383697,0.6217952715261639,1.0,False,1.0440511792026996
ACOT7,-2.9271125887269918,0.00611560605904122,0.5078765293464467,False,1.318838988838468
HES2,-2.218693511368362,0.03340316743979232,1.0,False,1.7807617252723793
ESPN,-4.549177937032841,4.0585019784758194e-05,0.016241591468129472,True,1.5936195558851065
TNFRSF25,-0.42128769770271374,0.6755755488915176,1.0,False,1.0300368474844919
PLEKHG5,0.008750731468518066,0.9930567298762243,1.0,False,1.0006326699170687
NOL9,1.2970124161864274,0.20151560461496373,1.0,False,1.1442728700479545
TAS1R1,2.3996770008889885,0.0208553673824293,1.0,False,1.3171006665438731
ZBTB48,-0.10152881785098644,0.919625144583762,1.0,False,1.0040593155422006
KLHL21,2.7772001862838547,0.008083414244548228,0.6078769987668842,False,1.3367571006057375
PHF13,0.7607854081208828,0.4507722100838597,1.0,False,1.0512403926593945
THAP3,0.10664571184053602,0.9156294006647825,1.0,False,1.0058426961121034
DNAJC11,-1.0882755336303718,0.2832261318190641,1.0,False,1.062876768362971
CAMTA1,1.01301960829957,0.3165393126803963,1.0,False,1.0545847863034399
VAMP3,0.0806179815386169,0.9361107282209217,1.0,False,1.0070777751981492
PER3,2.0824950140157084,0.04303977787398186,1.0,False,1.2846666310836934
TNFRSF9,-3.6023823851699905,0.0009319338420112523,0.13903599696055693,False,1.8505596240404623
PARK7,-0.373814397526895,0.7104351767604509,1.0,False,1.0258245352086952
ERRFI1,2.3661911507125777,0.02353301066416225,1.0,False,1.384300720524357
SLC45A1,0.8179537020523414,0.4177874972670981,1.0,False,1.0645471643272706
RERE,1.013462607695601,0.316912930862159,1.0,False,1.0616483913491728
ENO1,1.0516203909205175,0.2985885147904859,1.0,False,1.126501633525862
