,TStatistic,PValue,PValCorr,RejectionCorr,F_C
MIB2,2.098235734923402,0.0420196391081339,1.0,False,1.1587798471083992
CDK11B,-0.4867692391406977,0.6287441387081736,1.0,False,1.0695656720579187
SLC35E2B,-0.3345047625088854,0.7395659227230917,1.0,False,1.031948103335768
CDK11A,-0.4721663204184765,0.6391434780705523,1.0,False,1.062238823928242
SLC35E2,-0.3222657527881955,0.7488152263456975,1.0,False,1.05483612840014
NADK,-2.9397660176940836,0.005655794904098004,0.6360809181801391,False,1.2146904243870265
GNB1,-3.4715062839545414,0.001154857967983907,0.23546152802650802,False,1.1680257728794519
CALML6,1.6848261634275128,0.0988153061116561,1.0,False,1.180450147568739
TMEM52,-1.1419101050021712,0.25956611562847914,1.0,False,1.112427056372474
GABRD,-6.583440227985184,2.2760428103855066e-07,0.0008822134475283529,True,1.8438601120360605
PRKCZ,0.7460406994114124,0.45948127805926886,1.0,False,1.037570922650933
C1orf86,-0.35254581853053035,0.7260958872041747,1.0,False,1.0253336336639782
SKI,0.5446710965002184,0.5886123761308695,1.0,False,1.045914963716351
MORN1,1.0366236850549158,0.30534576465164104,1.0,False,1.0882614879373655
RER1,-1.1463853564665458,0.25759959990599046,1.0,False,1.0730792902314414
PEX10,-1.3721551393941558,0.17681258401299144,1.0,False,1.1304274965776944
PLCH2,3.693099665863444,0.0005973955772256407,0.15564556339241012,False,1.4065029652478265
PANK4,0.041724619724544686,0.9668988916688839,1.0,False,1.0041507923816646
HES5,-0.5159840351814172,0.6083437998907011,1.0,False,1.0773956301170542
LOC115110,0.43174452249549145,0.6680266713089411,1.0,False,1.055715168497724
TNFRSF14,-0.03110477354500049,0.9753301393589173,1.0,False,1.0015670491630793
LOC100133445,1.3225341234064942,0.1926718586811409,1.0,False,1.1632246130094248
C1orf93,-3.6352854731862605,0.0009722201967592903,0.20961912671355065,False,1.3541043884332526
MMEL1,-0.8096286461894564,0.422616193918523,1.0,False,1.0809107931819042
FLJ42875,0.16697094610093718,0.8681283636700986,1.0,False,1.021531779150378
PRDM16,-0.9802744558391948,0.33316731025046653,1.0,False,1.1123012703902682
ARHGEF16,0.6499769200449055,0.5189751088770523,1.0,False,1.044974758201525
MEGF6,-1.1640584433872105,0.2506678839417474,1.0,False,1.1821267364353365
TPRG1L,-0.28328305672550375,0.778277856422027,1.0,False,1.0194810838114643
WRAP73,-2.404699647379659,0.020299814797315498,1.0,False,1.1655438640124745
TP73,-0.06284381245674692,0.9501836915207273,1.0,False,1.0066812362901347
TP73-AS1,1.2685691191395063,0.21107469824224354,1.0,False,1.0811513260161982
LOC388588,-0.4733054378964503,0.6385074977022527,1.0,False,1.047808798607411
LRRC47,-1.2462395240131359,0.22064676938444422,1.0,False,1.1347802628020394
CEP104,-1.7740231993818196,0.08268431571407066,1.0,False,1.0931942544896103
DFFB,1.60416560610273,0.11652182035132895,1.0,False,1.1399791632629066
C1orf174,1.0214850281405983,0.31239538514991405,1.0,False,1.0869445612750033
AJAP1,3.627088724943643,0.000799329353978207,0.18710026666505064,False,1.5678141225300644
NPHP4,-0.6033894874574265,0.5492349825248893,1.0,False,1.0361283215139585
KCNAB2,-2.5308070722733946,0.01563120212441845,1.0,False,1.2965306502947376
CHD5,0.42559537791895347,0.6726601883275725,1.0,False,1.0578845882906374
RPL22,2.12564141468094,0.03898450170563201,1.0,False,1.2097502419181887
RNF207,-1.4886757643087043,0.14340653500716913,1.0,False,1.1129999228664909
ICMT,-2.322894344904553,0.024672941542043934,1.0,False,1.125638740513276
GPR153,1.0127884259759696,0.3165531202605581,1.0,False,1.0918162439571326
ACOT7,-1.9607707631080775,0.057984365690243185,1.0,False,1.1961242786686512
HES2,-0.939808359004389,0.35324139353071515,1.0,False,1.2430266615215293
ESPN,-1.1436590977367709,0.25869226769697573,1.0,False,1.1077402487339794
TNFRSF25,1.2188123396423132,0.22924365513118866,1.0,False,1.0972203002576344
PLEKHG5,1.5515764435636916,0.1280105226897606,1.0,False,1.1290143269226984
NOL9,1.6064734844362845,0.11504960856769936,1.0,False,1.1670135031512707
